"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverse_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"mesalamine","2000010811","mimiciv_drug_ndc","Drug","Prescription Drug",,"Mesalamine Desensitization 5 mg / 10 mL","1970-01-01","2099-12-31",,"968426","Maps to","Mapped from","1970-01-01","2099-12-31",
"Dutasteride 0.5 MG [Avodart]","2000010812","mimiciv_drug_ndc","Drug","Prescription Drug",,"Avodart 0.5mg","1970-01-01","2099-12-31",,"19031909","Maps to","Mapped from","1970-01-01","2099-12-31",
"Potassium Chloride 0.2 MEQ/ML","2000010813","mimiciv_drug_ndc","Drug","Prescription Drug",,"Potassium Chloride 2mEq/ml-10ml","1970-01-01","2099-12-31",,"19049574","Maps to","Mapped from","1970-01-01","2099-12-31",
"tegaserod 6 MG [Zelnorm]","2000010814","mimiciv_drug_ndc","Drug","Prescription Drug",,"Zelnorm 6 mg Tab","1970-01-01","2099-12-31",,"19026178","Maps to","Mapped from","1970-01-01","2099-12-31",
"Erythromycin 0.005 MG/MG Ophthalmic Ointment","2000010815","mimiciv_drug_ndc","Drug","Prescription Drug",,"ERYTHROMYCIN 0.5% OPHTH OINT ","1970-01-01","2099-12-31",,"19076953","Maps to","Mapped from","1970-01-01","2099-12-31",
"chlorhexidine gluconate 1.2 MG/ML Mouthwash [Peridex]","2000010816","mimiciv_drug_ndc","Drug","Prescription Drug",,"Peridex 0.12 % Mouthwash","1970-01-01","2099-12-31",,"1790985","Maps to","Mapped from","1970-01-01","2099-12-31",
"sildenafil 20 MG [Revatio]","2000010817","mimiciv_drug_ndc","Drug","Prescription Drug",,"Sildenafil (Revatio) 20 mg","1970-01-01","2099-12-31",,"19079048","Maps to","Mapped from","1970-01-01","2099-12-31",
"Oxycodone","2000010818","mimiciv_drug_ndc","Drug","Prescription Drug",,"OxycoDONE ","1970-01-01","2099-12-31",,"1124957","Maps to","Mapped from","1970-01-01","2099-12-31",
"Levalbuterol 0.21 MG/ML [Xopenex]","2000010819","mimiciv_drug_ndc","Drug","Prescription Drug",,"Xopenex 0.63mg/3ml","1970-01-01","2099-12-31",,"19120631","Maps to","Mapped from","1970-01-01","2099-12-31",
"Hydrocortisone 5 MG Oral Tablet [Cortef]","2000010820","mimiciv_drug_ndc","Drug","Prescription Drug",,"Cortef 5 mg Tab","1970-01-01","2099-12-31",,"19039286","Maps to","Mapped from","1970-01-01","2099-12-31",
"Teriparatide 0.02 MG/ACTUAT Pen Injector","2000010821","mimiciv_drug_ndc","Drug","Prescription Drug",,"Teriparatide 20 mcg/dose (600 mcg/2.4 mL) Sub-Q Pen Injector","1970-01-01","2099-12-31",,"43560308","Maps to","Mapped from","1970-01-01","2099-12-31",
"Colesevelam hydrochloride 625 MG","2000010822","mimiciv_drug_ndc","Drug","Prescription Drug",,"colesevelam 625","1970-01-01","2099-12-31",,"40167019","Maps to","Mapped from","1970-01-01","2099-12-31",
"Dutasteride 0.5 MG [Avodart]","2000010823","mimiciv_drug_ndc","Drug","Prescription Drug",,"Avodart 0.5 mg","1970-01-01","2099-12-31",,"19031909","Maps to","Mapped from","1970-01-01","2099-12-31",
"Hyoscyamine Sulfate 0.15 MG [Cystospaz]","2000010824","mimiciv_drug_ndc","Drug","Prescription Drug",,"Cystospaz 0.15 mg","1970-01-01","2099-12-31",,"40232548","Maps to","Mapped from","1970-01-01","2099-12-31",
"Esomeprazole 40 MG [Nexium]","2000010825","mimiciv_drug_ndc","Drug","Prescription Drug",,"Nexium 40 mg Cap","1970-01-01","2099-12-31",,"19005696","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ketorolac Tromethamine 4 MG/ML [Acular]","2000010826","mimiciv_drug_ndc","Drug","Prescription Drug",,"Acular LS 0.4% ","1970-01-01","2099-12-31",,"40164857","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ascorbic Acid / Beta Carotene / cuprous oxide / Vitamin E / Zinc Oxide Oral Tablet [PreserVision]","2000010827","mimiciv_drug_ndc","Drug","Prescription Drug",,"PreserVision 1 ","1970-01-01","2099-12-31",,"40169433","Maps to","Mapped from","1970-01-01","2099-12-31",
"olopatadine 1 MG/ML Ophthalmic Solution [Patanol]","2000010828","mimiciv_drug_ndc","Drug","Prescription Drug",,"Patanol 0.1 % Eye Drops","1970-01-01","2099-12-31",,"40240036","Maps to","Mapped from","1970-01-01","2099-12-31",
"Insulin, Aspart, Human 100 UNT/ML [NovoLog]","2000010829","mimiciv_drug_ndc","Drug","Prescription Drug",,"Novolog 100u/ml-10ml Vial","1970-01-01","2099-12-31",,"19005729","Maps to","Mapped from","1970-01-01","2099-12-31",
"Magnesium Chloride / Sodium Bicarbonate / Sodium Chloride Injectable Solution [Normocarb HF 25]","2000010830","mimiciv_drug_ndc","Drug","Prescription Drug",,"Normocarb Dialysate 240ml Vial","1970-01-01","2099-12-31",,"40161286","Maps to","Mapped from","1970-01-01","2099-12-31",
"abiraterone acetate 250 MG [Zytiga]","2000010831","mimiciv_drug_ndc","Drug","Prescription Drug",,"abiraterone (Zytiga) 250 mg","1970-01-01","2099-12-31",,"40239062","Maps to","Mapped from","1970-01-01","2099-12-31",
"Mupirocin Nasal Ointment","2000010832","mimiciv_drug_ndc","Drug","Prescription Drug",,"Mupirocin Nasal Ointment 2% 2%","1970-01-01","2099-12-31",,"40062277","Maps to","Mapped from","1970-01-01","2099-12-31",
"cyclosporine, modified 25 MG [Gengraf]","2000010833","mimiciv_drug_ndc","Drug","Prescription Drug",,"Gengraf (cyclosporine modified) 25mg","1970-01-01","2099-12-31",,"19099404","Maps to","Mapped from","1970-01-01","2099-12-31",
"abacavir / Lamivudine / Zidovudine Oral Tablet [Trizivir]","2000010834","mimiciv_drug_ndc","Drug","Prescription Drug",,"Trizivir 1 tab","1970-01-01","2099-12-31",,"40097201","Maps to","Mapped from","1970-01-01","2099-12-31",
"Nisoldipine 20 MG [Sular]","2000010835","mimiciv_drug_ndc","Drug","Prescription Drug",,"Nisoldipine (Sular) 20mg tablet","1970-01-01","2099-12-31",,"19081868","Maps to","Mapped from","1970-01-01","2099-12-31",
"Niacin 500 MG Oral Capsule","2000010836","mimiciv_drug_ndc","Drug","Prescription Drug",,"Niacin Flush Free 500 mg Cap","1970-01-01","2099-12-31",,"1517919","Maps to","Mapped from","1970-01-01","2099-12-31",
"Morphine Sulfate 1 MG/ML","2000010837","mimiciv_drug_ndc","Drug","Prescription Drug",,"Morphine Sulfate 100mg/100ml Premix","1970-01-01","2099-12-31",,"40169882","Maps to","Mapped from","1970-01-01","2099-12-31",
"Flutamide 125 MG Oral Capsule","2000010838","mimiciv_drug_ndc","Drug","Prescription Drug",,"Flutamide 125mg Cap","1970-01-01","2099-12-31",,"1356482","Maps to","Mapped from","1970-01-01","2099-12-31",
"Bupivacaine","2000010839","mimiciv_drug_ndc","Drug","Prescription Drug",,"Bupivacaine 0.1% 250 mL Yellow Med Cassette","1970-01-01","2099-12-31",,"732893","Maps to","Mapped from","1970-01-01","2099-12-31",
"Epinephrine","2000010840","mimiciv_drug_ndc","Drug","Prescription Drug",,"Epinephrine Kit ","1970-01-01","2099-12-31",,"1343916","Maps to","Mapped from","1970-01-01","2099-12-31",
"Diphenhydramine Topical Cream [Benadryl]","2000010841","mimiciv_drug_ndc","Drug","Prescription Drug",,"Diphenhydramine (Benadryl) cream 1%","1970-01-01","2099-12-31",,"40033993","Maps to","Mapped from","1970-01-01","2099-12-31",
"Metformin hydrochloride 500 MG / sitagliptin 50 MG [Janumet]","2000010842","mimiciv_drug_ndc","Drug","Prescription Drug",,"Janumet 50 mg-500 mg Tab","1970-01-01","2099-12-31",,"40164924","Maps to","Mapped from","1970-01-01","2099-12-31",
"Docusate Enema","2000010843","mimiciv_drug_ndc","Drug","Prescription Drug",,"Enema Disposable 1","1970-01-01","2099-12-31",,"40036796","Maps to","Mapped from","1970-01-01","2099-12-31",
"Cefadroxil 500 MG","2000010844","mimiciv_drug_ndc","Drug","Prescription Drug",,"cefadroxil 500 mg","1970-01-01","2099-12-31",,"1769599","Maps to","Mapped from","1970-01-01","2099-12-31",
"prednisolone 5 MG/ML Oral Solution [Prelone]","2000010845","mimiciv_drug_ndc","Drug","Prescription Drug",,"Prelone 15 mg/5 mL Oral Soln","1970-01-01","2099-12-31",,"19128781","Maps to","Mapped from","1970-01-01","2099-12-31",
"ezetimibe 10 MG / Simvastatin 40 MG [Vytorin]","2000010846","mimiciv_drug_ndc","Drug","Prescription Drug",,"Vytorin 10-40 10 mg-40 mg Tab","1970-01-01","2099-12-31",,"42706208","Maps to","Mapped from","1970-01-01","2099-12-31",
"prednisolone 20 MG","2000010847","mimiciv_drug_ndc","Drug","Prescription Drug",,"Prednisolone 20","1970-01-01","2099-12-31",,"19092830","Maps to","Mapped from","1970-01-01","2099-12-31",
"Zanamivir 5 MG/ACTUAT","2000010848","mimiciv_drug_ndc","Drug","Prescription Drug",,"Zanamivir 5 mg","1970-01-01","2099-12-31",,"1708749","Maps to","Mapped from","1970-01-01","2099-12-31",
"Triazolam 0.125 MG [Halcion]","2000010849","mimiciv_drug_ndc","Drug","Prescription Drug",,"Halcion .125","1970-01-01","2099-12-31",,"19088618","Maps to","Mapped from","1970-01-01","2099-12-31",
"Secretin 0.016 MG","2000010850","mimiciv_drug_ndc","Drug","Prescription Drug",,"Secretin 16mcg","1970-01-01","2099-12-31",,"21149250","Maps to","Mapped from","1970-01-01","2099-12-31",
"Calcium Gluconate","2000010851","mimiciv_drug_ndc","Drug","Prescription Drug",,"Calcium Gluconate ","1970-01-01","2099-12-31",,"19037038","Maps to","Mapped from","1970-01-01","2099-12-31",
"varenicline 0.5 MG Oral Tablet [Chantix]","2000010852","mimiciv_drug_ndc","Drug","Prescription Drug",,"Chantix 0.5 mg Tab","1970-01-01","2099-12-31",,"780447","Maps to","Mapped from","1970-01-01","2099-12-31",
"Hydralazine","2000010853","mimiciv_drug_ndc","Drug","Prescription Drug",,"HydrALAZINE ","1970-01-01","2099-12-31",,"1373928","Maps to","Mapped from","1970-01-01","2099-12-31",
"Levalbuterol 0.045 MG/ACTUAT Metered Dose Inhaler [Xopenex]","2000010854","mimiciv_drug_ndc","Drug","Prescription Drug",,"Xopenex HFA 45 mcg/Actuation Aerosol Inhaler","1970-01-01","2099-12-31",,"42902352","Maps to","Mapped from","1970-01-01","2099-12-31",
"dalfampridine 10 MG [Ampyra]","2000010855","mimiciv_drug_ndc","Drug","Prescription Drug",,"Ampyra 10mg","1970-01-01","2099-12-31",,"40170684","Maps to","Mapped from","1970-01-01","2099-12-31",
"Lactobacillus acidophilus","2000010856","mimiciv_drug_ndc","Drug","Prescription Drug",,"Acidophilus 175mg","1970-01-01","2099-12-31",,"987153","Maps to","Mapped from","1970-01-01","2099-12-31",
"Midazolam","2000010857","mimiciv_drug_ndc","Drug","Prescription Drug",,"MIDAZOLAM ","1970-01-01","2099-12-31",,"708298","Maps to","Mapped from","1970-01-01","2099-12-31",
"tipranavir Oral Capsule [Aptivus]","2000010858","mimiciv_drug_ndc","Drug","Prescription Drug",,"Aptivus 500 mg","1970-01-01","2099-12-31",,"40130101","Maps to","Mapped from","1970-01-01","2099-12-31",
"Sodium Chloride Prefilled Syringe","2000010859","mimiciv_drug_ndc","Drug","Prescription Drug",,"Sodium Chloride  Syringe","1970-01-01","2099-12-31",,"40141424","Maps to","Mapped from","1970-01-01","2099-12-31",
"Lactase 3000 UNT [Lactaid]","2000010860","mimiciv_drug_ndc","Drug","Prescription Drug",,"Lactaid 3000 unit","1970-01-01","2099-12-31",,"19027640","Maps to","Mapped from","1970-01-01","2099-12-31",
"travoprost 0.04 MG/ML [Travatan]","2000010861","mimiciv_drug_ndc","Drug","Prescription Drug",,"Travatan Z 0.004 %","1970-01-01","2099-12-31",,"19120802","Maps to","Mapped from","1970-01-01","2099-12-31",
"{21 (Ethinyl Estradiol 0.035 MG / ethynodiol 1 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Zovia 1/35E 28 Day]","2000010862","mimiciv_drug_ndc","Drug","Prescription Drug",,"Zovia 1/35E (28) 1","1970-01-01","2099-12-31",,"19127907","Maps to","Mapped from","1970-01-01","2099-12-31",
"Treprostinil 0.6 MG/ML [Tyvaso]","2000010863","mimiciv_drug_ndc","Drug","Prescription Drug",,"Tyvaso 1.74mg/2.9 ml 0.6mg/ml","1970-01-01","2099-12-31",,"40165308","Maps to","Mapped from","1970-01-01","2099-12-31",
"milk thistle extract","2000010864","mimiciv_drug_ndc","Drug","Prescription Drug",,"Milk Thistle Extract 250 mg capsule","1970-01-01","2099-12-31",,"1304277","Maps to","Mapped from","1970-01-01","2099-12-31",
"norethindrone acetate 5 MG","2000010865","mimiciv_drug_ndc","Drug","Prescription Drug",,"norethindrone acetate 5 mg Tab","1970-01-01","2099-12-31",,"40224821","Maps to","Mapped from","1970-01-01","2099-12-31",
"Carbidopa Oral Tablet [Lodosyn]","2000010866","mimiciv_drug_ndc","Drug","Prescription Drug",,"Lodosyn TAB ","1970-01-01","2099-12-31",,"40021550","Maps to","Mapped from","1970-01-01","2099-12-31",
"Folic Acid / Vitamin B 12 / Vitamin B6 Oral Tablet [Foltx]","2000010867","mimiciv_drug_ndc","Drug","Prescription Drug",,"Foltx 2.5 mg-25 mg-1 mg Oral Tab","1970-01-01","2099-12-31",,"40141793","Maps to","Mapped from","1970-01-01","2099-12-31",
"miconazole","2000010868","mimiciv_drug_ndc","Drug","Prescription Drug",,"Miconazole  200mg/supp","1970-01-01","2099-12-31",,"907879","Maps to","Mapped from","1970-01-01","2099-12-31",
"Saccharomyces boulardii Oral Powder [Florastor]","2000010869","mimiciv_drug_ndc","Drug","Prescription Drug",,"Florastor CAP","1970-01-01","2099-12-31",,"35606351","Maps to","Mapped from","1970-01-01","2099-12-31",
"Prednisone","2000010870","mimiciv_drug_ndc","Drug","Prescription Drug",,"Prednisone 5MG /ML ORAL CONCENTRATE","1970-01-01","2099-12-31",,"1551099","Maps to","Mapped from","1970-01-01","2099-12-31",
"rasagiline 1 MG [Azilect]","2000010871","mimiciv_drug_ndc","Drug","Prescription Drug",,"AZILECT 1 mg","1970-01-01","2099-12-31",,"19089084","Maps to","Mapped from","1970-01-01","2099-12-31",
"Estrogens, Conjugated (USP) / Medroxyprogesterone Oral Tablet [Prempro]","2000010872","mimiciv_drug_ndc","Drug","Prescription Drug",,"Prempro 1 tab","1970-01-01","2099-12-31",,"40037961","Maps to","Mapped from","1970-01-01","2099-12-31",
"brinzolamide Ophthalmic Suspension [Azopt]","2000010873","mimiciv_drug_ndc","Drug","Prescription Drug",,"BRINZOLAMIDE (Azopt) 1% OPTH SUSPENSION","1970-01-01","2099-12-31",,"40092484","Maps to","Mapped from","1970-01-01","2099-12-31",
"exemestane Oral Tablet [Aromasin]","2000010874","mimiciv_drug_ndc","Drug","Prescription Drug",,"Aromasin Exemestane","1970-01-01","2099-12-31",,"40054618","Maps to","Mapped from","1970-01-01","2099-12-31",
"Metformin hydrochloride 500 MG [Fortamet]","2000010875","mimiciv_drug_ndc","Drug","Prescription Drug",,"metformin (FORTAMET) 500mg TAB","1970-01-01","2099-12-31",,"40164931","Maps to","Mapped from","1970-01-01","2099-12-31",
"Insulin, Aspart, Human 100 UNT/ML [NovoLog]","2000010876","mimiciv_drug_ndc","Drug","Prescription Drug",,"Novolog 100u/ml-10ml x 2","1970-01-01","2099-12-31",,"19005729","Maps to","Mapped from","1970-01-01","2099-12-31",
"Phenylephrine","2000010877","mimiciv_drug_ndc","Drug","Prescription Drug",,"PHENYLEPHRINE HCL ","1970-01-01","2099-12-31",,"1135766","Maps to","Mapped from","1970-01-01","2099-12-31",
"Levobupivacaine 0.5 MG/ML","2000010878","mimiciv_drug_ndc","Drug","Prescription Drug",,"Bupivacaine 0.05% 250 mL Bag","1970-01-01","2099-12-31",,"19100871","Maps to","Mapped from","1970-01-01","2099-12-31",
"Potassium","2000010879","mimiciv_drug_ndc","Drug","Prescription Drug",,"Potassium Chloride 20mEq/50ml Premix","1970-01-01","2099-12-31",,"19049024","Maps to","Mapped from","1970-01-01","2099-12-31",
"Acetic Acid","2000010880","mimiciv_drug_ndc","Drug","Prescription Drug",,"Acetic Acid 0.04%","1970-01-01","2099-12-31",,"929549","Maps to","Mapped from","1970-01-01","2099-12-31",
"Hydrochlorothiazide 12.5 MG / irbesartan 150 MG [Avalide]","2000010881","mimiciv_drug_ndc","Drug","Prescription Drug",,"Avalide 150/12.5MG","1970-01-01","2099-12-31",,"19042651","Maps to","Mapped from","1970-01-01","2099-12-31",
"Estrogens, Conjugated (USP) / Medroxyprogesterone Oral Tablet [Prempro]","2000010882","mimiciv_drug_ndc","Drug","Prescription Drug",,"Prempro 1","1970-01-01","2099-12-31",,"40037961","Maps to","Mapped from","1970-01-01","2099-12-31",
"Fenofibrate 200 MG","2000010883","mimiciv_drug_ndc","Drug","Prescription Drug",,"fenofibrate 200mg","1970-01-01","2099-12-31",,"1551865","Maps to","Mapped from","1970-01-01","2099-12-31",
"levalbuterol","2000010884","mimiciv_drug_ndc","Drug","Prescription Drug",,"Levalbuterol HCl 1.25 mg","1970-01-01","2099-12-31",,"1192218","Maps to","Mapped from","1970-01-01","2099-12-31",
"Alfuzosin hydrochloride 10 MG [UroXatral]","2000010885","mimiciv_drug_ndc","Drug","Prescription Drug",,"UROXATRAL 10 mg","1970-01-01","2099-12-31",,"40164026","Maps to","Mapped from","1970-01-01","2099-12-31",
"imatinib","2000010886","mimiciv_drug_ndc","Drug","Prescription Drug",,"Imatinib 400MG/20ML","1970-01-01","2099-12-31",,"1304107","Maps to","Mapped from","1970-01-01","2099-12-31",
"enfuvirtide 90 MG","2000010887","mimiciv_drug_ndc","Drug","Prescription Drug",,"Enfuvirtide 90MG","1970-01-01","2099-12-31",,"35603887","Maps to","Mapped from","1970-01-01","2099-12-31",
"Benzoyl Peroxide","2000010888","mimiciv_drug_ndc","Drug","Prescription Drug",,"Benzoyl Peroxide 5% wash","1970-01-01","2099-12-31",,"918172","Maps to","Mapped from","1970-01-01","2099-12-31",
"Chondroitin Sulfates / Glucosamine Oral Tablet","2000010889","mimiciv_drug_ndc","Drug","Prescription Drug",,"Glucosamine Chondroitin SMConc tablet","1970-01-01","2099-12-31",,"40131393","Maps to","Mapped from","1970-01-01","2099-12-31",
"tegaserod 6 MG [Zelnorm]","2000010890","mimiciv_drug_ndc","Drug","Prescription Drug",,"Zelnorm (tegaserod) 6 mg","1970-01-01","2099-12-31",,"19026178","Maps to","Mapped from","1970-01-01","2099-12-31",
"risedronate sodium 35 MG Oral Tablet","2000010891","mimiciv_drug_ndc","Drug","Prescription Drug",,"Risedronate Sodium 35MG tAB","1970-01-01","2099-12-31",,"40174494","Maps to","Mapped from","1970-01-01","2099-12-31",
"Bumetanide","2000010892","mimiciv_drug_ndc","Drug","Prescription Drug",,"Bumetanide 1 Syringe","1970-01-01","2099-12-31",,"932745","Maps to","Mapped from","1970-01-01","2099-12-31",
"Tetrabenazine 25 MG Oral Tablet [Xenazine]","2000010893","mimiciv_drug_ndc","Drug","Prescription Drug",,"tetrabenazine (Xenazine) 25mg tab 25 mg Tab","1970-01-01","2099-12-31",,"19131890","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ascorbic Acid / Beta Carotene / cuprous oxide / Lutein / sodium selenate / Vitamin E / Zinc Oxide Oral Tablet [Ocuvite]","2000010894","mimiciv_drug_ndc","Drug","Prescription Drug",,"Ocuvite 1 cap ","1970-01-01","2099-12-31",,"40169429","Maps to","Mapped from","1970-01-01","2099-12-31",
"Flecainide Acetate 150 MG","2000010895","mimiciv_drug_ndc","Drug","Prescription Drug",,"Flecainide Acetate 150mg TAB","1970-01-01","2099-12-31",,"40169049","Maps to","Mapped from","1970-01-01","2099-12-31",
"trolamine salicylate 100 MG/ML Topical Cream [Aspercreme]","2000010896","mimiciv_drug_ndc","Drug","Prescription Drug",,"Aspercreme  10% cream","1970-01-01","2099-12-31",,"40239393","Maps to","Mapped from","1970-01-01","2099-12-31",
"everolimus 5 MG Oral Tablet","2000010897","mimiciv_drug_ndc","Drug","Prescription Drug",,"Everolimus 5 mg Tab","1970-01-01","2099-12-31",,"19135083","Maps to","Mapped from","1970-01-01","2099-12-31",
"Cefazolin 1000 MG","2000010898","mimiciv_drug_ndc","Drug","Prescription Drug",,"Cefazolin 1g Froz.Bag","1970-01-01","2099-12-31",,"46287336","Maps to","Mapped from","1970-01-01","2099-12-31",
"ezetimibe 10 MG [Zetia]","2000010899","mimiciv_drug_ndc","Drug","Prescription Drug",,"Zetia 10mg","1970-01-01","2099-12-31",,"19120997","Maps to","Mapped from","1970-01-01","2099-12-31",
"exenatide 0.01 MG/ACTUAT [Byetta]","2000010900","mimiciv_drug_ndc","Drug","Prescription Drug",,"Byetta (Exenatide) 10mcg/dose","1970-01-01","2099-12-31",,"19083253","Maps to","Mapped from","1970-01-01","2099-12-31",
"Colesevelam hydrochloride 625 MG Oral Tablet [Welchol]","2000010901","mimiciv_drug_ndc","Drug","Prescription Drug",,"Colesevelam (WelChol) 625mg tablet","1970-01-01","2099-12-31",,"40167021","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ethinyl Estradiol 0.035 MG / norgestimate 0.25 MG [Ortho Cyclen]","2000010902","mimiciv_drug_ndc","Drug","Prescription Drug",,"Ortho Tri-Cyclen (28) 0.18/0.215/0.25-35 mg","1970-01-01","2099-12-31",,"19118232","Maps to","Mapped from","1970-01-01","2099-12-31",
"Felodipine 5 MG","2000010903","mimiciv_drug_ndc","Drug","Prescription Drug",,"Felodipine 5m","1970-01-01","2099-12-31",,"1353817","Maps to","Mapped from","1970-01-01","2099-12-31",
"Guaifenesin 1200 MG Oral Tablet","2000010904","mimiciv_drug_ndc","Drug","Prescription Drug",,"Guaifenesin DM table 1200mg","1970-01-01","2099-12-31",,"19096732","Maps to","Mapped from","1970-01-01","2099-12-31",
"Potassium Chloride 20 MEQ Extended Release Oral Tablet","2000010905","mimiciv_drug_ndc","Drug","Prescription Drug",,"Potassium Chloride Replacement (Oncology) 20mEq Tablet","1970-01-01","2099-12-31",,"19049106","Maps to","Mapped from","1970-01-01","2099-12-31",
"Levalbuterol 0.045 MG/ACTUAT [Xopenex]","2000010906","mimiciv_drug_ndc","Drug","Prescription Drug",,"Xopenex HFA 45mcg/actuation","1970-01-01","2099-12-31",,"19124105","Maps to","Mapped from","1970-01-01","2099-12-31",
"Carisoprodol 350 MG Oral Tablet [Soma]","2000010907","mimiciv_drug_ndc","Drug","Prescription Drug",,"Carisoprodol (Soma) 350 mg Oral Tab","1970-01-01","2099-12-31",,"749936","Maps to","Mapped from","1970-01-01","2099-12-31",
"cadexomer iodine 0.009 MG/MG [Iodosorb]","2000010908","mimiciv_drug_ndc","Drug","Prescription Drug",,"Iodosorb cadexomer iodine 0.9%","1970-01-01","2099-12-31",,"19125467","Maps to","Mapped from","1970-01-01","2099-12-31",
"sitagliptin 100 MG Oral Tablet [Januvia]","2000010909","mimiciv_drug_ndc","Drug","Prescription Drug",,"JANUVIA 100 mg Tab","1970-01-01","2099-12-31",,"19125043","Maps to","Mapped from","1970-01-01","2099-12-31",
"ramelteon 8 MG [Rozerem]","2000010910","mimiciv_drug_ndc","Drug","Prescription Drug",,"Rozerem 8 mg","1970-01-01","2099-12-31",,"19122505","Maps to","Mapped from","1970-01-01","2099-12-31",
"Vemurafenib 240 MG Oral Tablet [Zelboraf]","2000010911","mimiciv_drug_ndc","Drug","Prescription Drug",,"Zelboraf 240 mg Tab","1970-01-01","2099-12-31",,"40241940","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ascorbic Acid / Beta Carotene / cuprous oxide / Vitamin E / Zinc Oxide Oral Tablet [PreserVision]","2000010912","mimiciv_drug_ndc","Drug","Prescription Drug",,"PreserVision 226 mg-200 unit-5 mg Cap","1970-01-01","2099-12-31",,"40169433","Maps to","Mapped from","1970-01-01","2099-12-31",
"Epoetin Alfa 10000 UNT/ML","2000010913","mimiciv_drug_ndc","Drug","Prescription Drug",,"Epoetin Alfa 10,000 UNIT VIAL","1970-01-01","2099-12-31",,"1301175","Maps to","Mapped from","1970-01-01","2099-12-31",
"Milnacipran hydrochloride 100 MG Oral Tablet [Savella]","2000010914","mimiciv_drug_ndc","Drug","Prescription Drug",,"Savella 100 mg Tab","1970-01-01","2099-12-31",,"19080251","Maps to","Mapped from","1970-01-01","2099-12-31",
"Tacrolimus 0.5 MG","2000010915","mimiciv_drug_ndc","Drug","Prescription Drug",,"TACROLIMUS 0.5MG ","1970-01-01","2099-12-31",,"19085134","Maps to","Mapped from","1970-01-01","2099-12-31",
"Fluoxymesterone 10 MG","2000010916","mimiciv_drug_ndc","Drug","Prescription Drug",,"fluoxymesterone 10mg","1970-01-01","2099-12-31",,"1555927","Maps to","Mapped from","1970-01-01","2099-12-31",
"Betamethasone 0.0005 MG/MG / calcipotriene 0.00005 MG/MG Topical Ointment [Taclonex]","2000010917","mimiciv_drug_ndc","Drug","Prescription Drug",,"Taclonex 0.05 % (0.064%)-0.005 % Ointment","1970-01-01","2099-12-31",,"908984","Maps to","Mapped from","1970-01-01","2099-12-31",
"insulin detemir 100 UNT/ML [Levemir]","2000010918","mimiciv_drug_ndc","Drug","Prescription Drug",,"Levemir 100 U/ml","1970-01-01","2099-12-31",,"19044971","Maps to","Mapped from","1970-01-01","2099-12-31",
"Etomidate","2000010919","mimiciv_drug_ndc","Drug","Prescription Drug",,"Etomidate ","1970-01-01","2099-12-31",,"19050488","Maps to","Mapped from","1970-01-01","2099-12-31",
"adefovir dipivoxil 10 MG [Hepsera]","2000010920","mimiciv_drug_ndc","Drug","Prescription Drug",,"Hepsera 10 mg","1970-01-01","2099-12-31",,"40168222","Maps to","Mapped from","1970-01-01","2099-12-31",
"Carbidopa / entacapone / Levodopa Oral Tablet [Stalevo]","2000010921","mimiciv_drug_ndc","Drug","Prescription Drug",,"Stalevo 150 150 mg","1970-01-01","2099-12-31",,"40021515","Maps to","Mapped from","1970-01-01","2099-12-31",
"Sodium Bicarbonate 500 MG","2000010922","mimiciv_drug_ndc","Drug","Prescription Drug",,"Sodium Bicarbonate 50MEQ VIAL","1970-01-01","2099-12-31",,"939684","Maps to","Mapped from","1970-01-01","2099-12-31",
"eplerenone 25 MG Oral Tablet [Inspra]","2000010923","mimiciv_drug_ndc","Drug","Prescription Drug",,"Eplerenone (INSPRA) 25 mg tablet","1970-01-01","2099-12-31",,"19102209","Maps to","Mapped from","1970-01-01","2099-12-31",
"Acetaminophen","2000010924","mimiciv_drug_ndc","Drug","Prescription Drug",,"Acetaminophen (Rectal) ","1970-01-01","2099-12-31",,"1125315","Maps to","Mapped from","1970-01-01","2099-12-31",
"liothyronine","2000010925","mimiciv_drug_ndc","Drug","Prescription Drug",,"Liothyronine 10 mcg/ml","1970-01-01","2099-12-31",,"1505346","Maps to","Mapped from","1970-01-01","2099-12-31",
"Acetaminophen / Aspirin / Caffeine Oral Tablet [Excedrin]","2000010926","mimiciv_drug_ndc","Drug","Prescription Drug",,"Excedrin Extra Strength 1 tab","1970-01-01","2099-12-31",,"40003496","Maps to","Mapped from","1970-01-01","2099-12-31",
"Chlorpromazine 50 MG","2000010927","mimiciv_drug_ndc","Drug","Prescription Drug",,"Chlorpromazine 50 mg","1970-01-01","2099-12-31",,"40179625","Maps to","Mapped from","1970-01-01","2099-12-31",
"vilazodone hydrochloride 40 MG [Viibryd]","2000010928","mimiciv_drug_ndc","Drug","Prescription Drug",,"Viibryd 40mg","1970-01-01","2099-12-31",,"40234848","Maps to","Mapped from","1970-01-01","2099-12-31",
