"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverse_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"Iloprost","2000010023","mimiciv_drug_ndc","Drug","Prescription Drug",,"Iloprost 10 mcg","1970-01-01","2099-12-31",,"1344992","Maps to","Mapped from","1970-01-01","2099-12-31",
"Betamethasone 0.25 MG/ML","2000010024","mimiciv_drug_ndc","Drug","Prescription Drug",,"Betamethasone 0.5mg/2mL","1970-01-01","2099-12-31",,"920869","Maps to","Mapped from","1970-01-01","2099-12-31",
"Methylphenidate Hydrochloride 54 MG [Concerta]","2000010025","mimiciv_drug_ndc","Drug","Prescription Drug",,"Concerta (methylphenidate) 54mg","1970-01-01","2099-12-31",,"40236493","Maps to","Mapped from","1970-01-01","2099-12-31",
"Acetylcysteine 600 MG","2000010026","mimiciv_drug_ndc","Drug","Prescription Drug",,"acetylcysteine 600mg","1970-01-01","2099-12-31",,"1139058","Maps to","Mapped from","1970-01-01","2099-12-31",
"Acetylcysteine 600 MG","2000010027","mimiciv_drug_ndc","Drug","Prescription Drug",,"NAC (N-acetyl-L-cysteine 600 mg Cap","1970-01-01","2099-12-31",,"1139058","Maps to","Mapped from","1970-01-01","2099-12-31",
"Tetanus immune globulin","2000010028","mimiciv_drug_ndc","Drug","Prescription Drug",,"tetanus immune globulin tetanus immune globulin","1970-01-01","2099-12-31",,"35604680","Maps to","Mapped from","1970-01-01","2099-12-31",
"Diphenhydramine","2000010029","mimiciv_drug_ndc","Drug","Prescription Drug",,"DiphenhydrAMINE ","1970-01-01","2099-12-31",,"1129625","Maps to","Mapped from","1970-01-01","2099-12-31",
"FLUOROMETHOLONE ACETATE 1 MG/ML Ophthalmic Suspension [Flarex]","2000010030","mimiciv_drug_ndc","Drug","Prescription Drug",,"Flarex 0.1 % Eye Drops","1970-01-01","2099-12-31",,"42708921","Maps to","Mapped from","1970-01-01","2099-12-31",
"Nitroglycerin 0.5 MG/ML [Tridil]","2000010031","mimiciv_drug_ndc","Drug","Prescription Drug",,"Nitroglycerin 100MG/20ML VIAL","1970-01-01","2099-12-31",,"19117574","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ampicillin","2000010032","mimiciv_drug_ndc","Drug","Prescription Drug",,"Ampicillin Sodium 2g Vial","1970-01-01","2099-12-31",,"1717327","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ketorolac Tromethamine 4 MG/ML Ophthalmic Solution [Acular]","2000010033","mimiciv_drug_ndc","Drug","Prescription Drug",,"Acular LS 0.4 % Eye Drops","1970-01-01","2099-12-31",,"40164856","Maps to","Mapped from","1970-01-01","2099-12-31",
"Medium chain triglycerides","2000010034","mimiciv_drug_ndc","Drug","Prescription Drug",,"Medium Chain Triglycerides 0","1970-01-01","2099-12-31",,"42899398","Maps to","Mapped from","1970-01-01","2099-12-31",
"Hydromorphone","2000010035","mimiciv_drug_ndc","Drug","Prescription Drug",,"HYDROmorphone (Dilaudid) ","1970-01-01","2099-12-31",,"1126658","Maps to","Mapped from","1970-01-01","2099-12-31",
"bimatoprost 0.1 MG/ML [Lumigan]","2000010036","mimiciv_drug_ndc","Drug","Prescription Drug",,"Lumigan 0.01% 0.01%","1970-01-01","2099-12-31",,"40226431","Maps to","Mapped from","1970-01-01","2099-12-31",
"Vasopressin (USP)","2000010037","mimiciv_drug_ndc","Drug","Prescription Drug",,"Vasopressin ","1970-01-01","2099-12-31",,"1507835","Maps to","Mapped from","1970-01-01","2099-12-31",
"Levothyroxine Sodium 0.15 MG Oral Tablet [Synthroid]","2000010038","mimiciv_drug_ndc","Drug","Prescription Drug",,"Synthroid 150 mcg Tab","1970-01-01","2099-12-31",,"40175059","Maps to","Mapped from","1970-01-01","2099-12-31",
"potassium citrate 10 MEQ","2000010039","mimiciv_drug_ndc","Drug","Prescription Drug",,"potassium citrate 10 meq","1970-01-01","2099-12-31",,"976606","Maps to","Mapped from","1970-01-01","2099-12-31",
"Clindamycin 600 MG","2000010040","mimiciv_drug_ndc","Drug","Prescription Drug",,"Clindamycin 600MG PREMIX","1970-01-01","2099-12-31",,"19109384","Maps to","Mapped from","1970-01-01","2099-12-31",
"Metoprolol","2000010041","mimiciv_drug_ndc","Drug","Prescription Drug",,"Metoprolol ","1970-01-01","2099-12-31",,"1307046","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ketorolac Tromethamine 5 MG/ML Ophthalmic Solution [Acular]","2000010042","mimiciv_drug_ndc","Drug","Prescription Drug",,"Acular 0.5 % Eye Drops","1970-01-01","2099-12-31",,"40164864","Maps to","Mapped from","1970-01-01","2099-12-31",
"Maprotiline Hydrochloride 25 MG","2000010043","mimiciv_drug_ndc","Drug","Prescription Drug",,"Maprotiline HCl 25mg caps","1970-01-01","2099-12-31",,"42800983","Maps to","Mapped from","1970-01-01","2099-12-31",
"Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG [Benicar HCT]","2000010044","mimiciv_drug_ndc","Drug","Prescription Drug",,"BENICAR HCT 20-12.5 mg","1970-01-01","2099-12-31",,"19135232","Maps to","Mapped from","1970-01-01","2099-12-31",
"norethindrone acetate 5 MG Oral Tablet [Aygestin]","2000010045","mimiciv_drug_ndc","Drug","Prescription Drug",,"Aygestin 5 mg Tab","1970-01-01","2099-12-31",,"40224823","Maps to","Mapped from","1970-01-01","2099-12-31",
"Diltiazem","2000010046","mimiciv_drug_ndc","Drug","Prescription Drug",,"Diltiazem ","1970-01-01","2099-12-31",,"1328165","Maps to","Mapped from","1970-01-01","2099-12-31",
"Etanercept","2000010047","mimiciv_drug_ndc","Drug","Prescription Drug",,"Etanercept 25 mg Sub-Q Kit","1970-01-01","2099-12-31",,"1151789","Maps to","Mapped from","1970-01-01","2099-12-31",
"Coenzyme Q10","2000010048","mimiciv_drug_ndc","Drug","Prescription Drug",,"Coenzyme Q10 900 mg","1970-01-01","2099-12-31",,"1351115","Maps to","Mapped from","1970-01-01","2099-12-31",
"Dopamine","2000010049","mimiciv_drug_ndc","Drug","Prescription Drug",,"DOPamine ","1970-01-01","2099-12-31",,"1337860","Maps to","Mapped from","1970-01-01","2099-12-31",
"Tetrabenazine 25 MG Oral Tablet [Xenazine]","2000010050","mimiciv_drug_ndc","Drug","Prescription Drug",,"Xenazine 25 mg tablets","1970-01-01","2099-12-31",,"19131890","Maps to","Mapped from","1970-01-01","2099-12-31",
"Vancomycin 250 MG [Vancocin]","2000010051","mimiciv_drug_ndc","Drug","Prescription Drug",,"Vancocin 250 mg","1970-01-01","2099-12-31",,"19117668","Maps to","Mapped from","1970-01-01","2099-12-31",
