gsn,drug_concept_id,drug_source_concept_id
009424,1759456,1759456
009430,920334,920334
009633,19011355,19011355
009717,1366390,1366390
010428,42899249,42899249
010554,1302104,1302104
010871,908464,778892
011597,42707999,42707999
011686,42902806,42902806
011741,1301170,1301170
011867,976545,778890
011879,43013035,46274539
011897,42903833,42903833
011966,1152774,1152774
011991,1317967,1317967
012972,1510489,1510489
013127,993732,993732
013274,43012737,43012737
013296,40167569,40167569
013497,1594703,1594703
013733,43013502,43013502
014107,42900572,42900572
015066,40171499,40171499
015272,43532259,43532259
015309,44785086,44785086
015774,917466,917466
015865,19070550,19070550
016077,40171991,40171991
016095,590768,590768
016282,903963,19009827
016749,40167733,40167733
016751,35603983,35603983
016756,40170420,40170420
016782,19082307,19082307
016784,40161044,40161044
016881,19106345,19106345
017066,40170868,40170868
017081,40174420,40174420
017131,1592911,1592911
017200,1594034,1594034
017465,963950,963950
017557,1510687,1510687
017578,43012176,43012176
017865,963850,963850
018222,1119119,741835
018248,1146278,1146278
018272,40170862,37498747
018455,19080098,19080098
018553,37003201,37003201
018697,1107927,1107927
018989,746356,746366
019092,741701,741701
019205,37003432,1525509
019220,37003432,1525541
019348,1302024,1302023
019750,19079090,19079090
019800,1734796,1734795
019812,40244266,1465646
021249,1515445,1515445
021461,927971,927971
021608,19125937,19125937
021693,19058193,19058193
021732,953102,953102
022545,40238419,40238419
023177,42799520,42799520
023538,19020361,19020361
023984,40099496,40099496
024412,1185929,1185929
027644,35606006,35606006
028191,19114219,19114219
029083,43012658,43012658
030741,19102176,19102176
030752,19123771,19123771
033720,40238435,40238435
038164,19075601,19075601
040293,537649,537649
040872,40163375,40163375
041338,40221796,40221796
043292,46287349,46287349
043435,1585145,1585145
044181,19022858,19022858
044692,42898194,42898194
044815,19067146,19067146
045031,19066980,19066980
045284,19066370,19066370
045412,42873563,42873563
045983,19075052,19075052
046219,740118,740118
046255,40238419,40238419
046567,19077869,19077869
047014,19073364,19073364
047126,1317675,1317675
047283,1193430,1193430
047561,19103555,19103555
047578,1353268,1353268
047636,725177,725177
048245,19078105,19078105
048491,40182175,40182175
048604,19074464,19074464
048851,1361395,1361395
048920,40163630,40163630
049720,1343040,1343040
050344,935548,935548
050360,40224638,40224638
050692,1596799,1596799
051598,40167076,40167076
051804,19133593,19133593
051878,19099674,19099674
051932,19102197,19102197
052085,19102475,19102475
052188,35602797,35602797
052245,35604834,35604834
052770,40174530,40174530
052944,40165261,40165261
053016,19102872,19102872
053168,1360981,1360981
053359,45776335,45776335
053380,40224474,40224474
053405,37496860,37496860
053505,19102206,19102206
058793,42707526,42707526
058871,19022374,19022374
058877,1797188,1797188
059084,965420,965420
059192,40171522,40171522
059246,46276191,46276191
059270,1742434,1742434
059326,19127768,19127768
059352,42800419,42800419
059671,40232551,40232551
059733,19124318,19124318
059868,46287414,46287414
059893,40173566,40173566
059900,46275616,46275616
060022,40224271,40224271
060096,19122388,19122388
060231,19122473,19122473
060326,1336541,1336541
060477,793583,793583
060599,35603143,35603143
060766,35603183,35603183
060900,40226008,40226008
060988,1302314,1302314
061317,40171520,40171520
